case,run,VB,time,DOC,feed,material,cut_no,tool_class,window_start,window_end
13,14,1.10,39,0.75,0.25,2,143,2,4160,8960
13,14,1.49,37,0.75,0.25,2,143,2,4160,8960
12,9,0.81,43,1.31,0.50,2,127,2,2155,6464
11,9,1.11,19,0.95,0.50,2,128,2,2496,6516
15,9,1.12,27,1.04,0.25,2,152,2,4160,8960
9,9,0.81,44,1.36,0.50,1,97,2,2133,6464
11,11,0.72,38,1.01,0.25,1,80,2,4335,8960
11,19,0.82,105,0.75,0.25,1,95,2,4160,8960
7,9,0.76,21,1.38,0.50,2,111,2,2379,6552
13,13,1.46,33,0.75,0.25,2,140,2,4160,8960
13,12,0.88,34,0.75,0.25,2,141,2,4160,8960
13,13,1.08,39,0.75,0.25,2,143,2,4160,8960
13,14,1.12,40,0.75,0.25,2,143,2,4160,8960
13,14,1.50,41,0.75,0.25,2,143,2,4160,8960
12,9,0.81,28,0.91,0.50,2,141,2,2321,6464
13,10,1.14,21,0.80,0.50,2,137,2,2496,6474
15,8,0.86,24,1.04,0.25,2,151,2,4160,8960
12,9,0.81,39,1.19,0.50,1,124,2,2246,6464
11,11,0.78,45,0.91,0.25,2,87,2,4329,8960
13,15,0.98,68,0.75,0.25,2,134,2,4160,8960
13,9,1.04,23,1.11,0.25,2,141,2,3570,8369
15,11,0.71,30,0.92,0.25,2,140,2,4160,8960
13,13,0.99,39,0.75,0.25,2,142,2,4160,8960
13,14,1.19,41,0.75,0.25,2,143,2,4160,8960
13,14,1.08,38,0.75,0.25,2,142,2,4160,8960
13,14,1.36,37,0.75,0.25,2,143,2,4160,8960
11,9,0.81,34,1.28,0.50,2,127,2,2163,6464
14,9,1.14,19,0.80,0.50,2,137,2,2496,6492
15,7,1.11,21,1.33,0.25,2,160,2,4160,8960
9,9,0.81,45,1.40,0.50,1,81,2,2122,6464
10,17,0.71,94,1.01,0.25,1,73,2,4335,8960
11,20,0.78,105,0.75,0.25,1,93,2,4160,8960
9,10,0.84,17,1.35,0.50,2,135,2,2496,6559
13,12,0.98,33,0.75,0.25,2,140,2,4160,8960
13,12,0.95,35,0.75,0.25,2,141,2,4160,8960
13,13,1.04,39,0.75,0.25,2,142,2,4160,8960
13,14,1.48,41,0.75,0.25,2,143,2,4160,8960
13,15,1.51,43,0.75,0.25,2,144,2,4160,8960
14,9,0.91,19,0.79,0.50,2,148,2,2496,6465
14,10,1.14,22,0.76,0.50,2,143,2,2496,6466
15,7,0.70,22,1.21,0.25,2,151,2,4160,8960
12,9,0.81,29,0.93,0.50,1,136,2,2307,6464
11,11,0.77,45,0.97,0.25,2,81,2,4334,8960
13,16,1.01,70,0.75,0.25,2,135,2,4160,8960
12,12,1.31,25,0.88,0.25,2,138,2,3570,8369
15,11,0.71,29,0.98,0.25,2,141,2,4160,8960
13,13,1.01,37,0.75,0.25,2,142,2,4160,8960
13,13,1.17,41,0.75,0.25,2,143,2,4160,8960
13,14,1.09,39,0.75,0.25,2,143,2,4160,8960
13,14,1.36,37,0.75,0.25,2,143,2,4160,8960
11,9,0.81,44,1.31,0.50,2,126,2,2154,6464
13,9,1.13,19,0.84,0.50,2,132,2,2496,6497
15,8,1.12,25,1.04,0.25,2,151,2,4160,8960
12,9,0.81,44,1.34,0.50,1,114,2,2154,6464
13,11,0.77,37,0.95,0.25,2,133,2,4212,8960
11,18,0.94,104,0.75,0.25,1,98,2,4160,8960
8,9,0.76,29,1.02,0.50,2,111,2,2345,6541
13,13,1.28,35,0.75,0.25,2,141,2,4160,8960
13,12,0.97,34,0.75,0.25,2,141,2,4160,8960
13,13,1.08,39,0.75,0.25,2,143,2,4160,8960
13,14,1.12,39,0.75,0.25,2,143,2,4160,8960
13,14,1.33,40,0.75,0.25,2,143,2,4160,8960
12,9,0.81,36,1.23,0.50,2,134,2,2203,6464
12,9,1.12,21,0.92,0.50,2,130,2,2496,6496
15,8,0.80,24,1.15,0.25,2,154,2,4160,8960
12,9,0.81,29,0.94,0.50,2,135,2,2317,6464
12,11,0.84,63,0.88,0.25,2,116,2,4174,8960
13,15,1.08,50,0.75,0.25,2,135,2,4160,8960
13,10,0.94,28,1.01,0.25,2,140,2,4066,8369
14,12,0.85,33,0.91,0.25,2,140,2,4160,8960
13,13,1.06,39,0.75,0.25,2,142,2,4160,8960
13,14,1.19,41,0.75,0.25,2,143,2,4160,8960
13,13,1.08,38,0.75,0.25,2,142,2,4160,8960
13,14,1.36,38,0.75,0.25,2,142,2,4160,8960
12,9,0.81,39,1.27,0.50,1,125,2,2179,6464
12,9,0.97,19,1.30,0.50,2,136,2,2489,6533
15,8,0.99,26,1.06,0.25,2,157,2,4160,8960
1,2,0.00,5,1.50,0.50,1,2,0,2496,6976
1,1,,3,1.01,0.50,1,3,0,538,6942
1,2,,6,1.50,0.50,1,2,0,2496,6976
2,4,0.12,10,1.34,0.50,1,18,0,2496,6976
2,3,,9,1.23,0.50,1,5,0,947,5073
7,2,0.08,4,0.75,0.50,1,31,0,1415,3852
2,3,0.14,13,0.75,0.50,1,19,0,2496,6976
2,3,0.14,14,0.75,0.50,1,19,0,2496,6976
1,4,0.14,10,0.96,0.50,1,15,0,2496,6976
2,4,0.15,16,0.75,0.50,1,21,0,2692,6976
2,5,,13,0.95,0.50,1,9,0,3665,6976
2,6,0.13,20,1.21,0.50,1,14,0,2496,6976
3,2,0.12,2,0.75,0.25,1,32,0,4480,8960
3,3,0.13,3,0.75,0.25,1,32,0,4480,8960
4,3,0.13,9,0.81,0.25,1,43,0,4480,8960
3,2,0.04,15,0.75,0.25,1,33,0,4480,8960
4,4,0.19,22,1.04,0.25,1,56,0,3811,8960
3,1,0.07,0,1.30,0.25,1,40,0,4480,8960
4,2,0.12,6,1.50,0.25,1,45,0,4480,8960
9,1,0.06,3,1.50,0.50,1,53,0,2112,6720
9,3,0.11,3,1.50,0.50,1,54,0,2112,6669
9,2,0.10,3,1.50,0.50,1,54,0,2112,6584
12,5,0.17,16,0.96,0.50,1,71,0,2496,6720
10,2,0.00,3,1.50,0.25,1,62,0,4480,8960
10,2,0.03,3,1.50,0.25,1,61,0,4480,8960
5,3,0.08,8,1.50,0.25,1,47,0,4480,8960
11,4,0.09,14,1.14,0.25,1,68,0,4160,8960
11,1,0.01,9,0.75,0.25,1,71,0,4160,8960
11,3,0.05,9,0.75,0.25,1,74,0,4160,8960
11,3,0.04,10,0.75,0.25,1,73,0,4160,8960
11,3,0.06,9,0.75,0.25,1,74,0,4160,8960
11,6,0.09,20,0.75,0.25,1,77,0,4160,8960
11,9,0.12,25,0.75,0.25,1,77,0,4160,8960
4,6,,15,1.36,0.38,1,38,0,2975,8251
11,5,0.09,18,0.75,0.25,1,75,0,4160,8960
11,7,0.14,27,0.75,0.25,1,78,0,4160,8960
11,8,0.15,22,0.75,0.25,1,79,0,4160,8960
4,1,,5,0.90,0.50,1,38,0,2293,3358
10,2,0.03,1,0.75,0.50,2,97,0,2496,6720
6,3,0.12,4,0.96,0.50,1,102,0,2496,6464
5,3,,6,0.78,0.50,1,63,0,2496,6826
12,4,0.10,16,0.75,0.50,2,132,0,2681,6464
12,5,0.17,15,0.75,0.50,1,98,0,2496,6720
12,1,0.01,2,0.78,0.50,2,138,0,2496,6464
10,2,0.16,3,1.03,0.50,2,103,0,2496,6720
7,2,0.12,6,1.48,0.25,2,117,0,4160,8960
9,2,0.07,1,1.39,0.25,2,117,0,4160,8960
11,3,0.11,9,0.75,0.25,2,119,0,4160,8960
7,3,0.11,6,0.75,0.25,2,118,0,4160,8960
8,1,0.06,0,0.75,0.50,2,124,0,2496,6720
8,2,0.08,1,0.75,0.50,2,124,0,2496,6720
7,2,,4,1.13,0.28,2,3,0,4056,7849
4,3,,3,0.76,0.44,1,124,0,2982,7894
10,2,0.08,2,0.81,0.25,1,123,0,4480,8960
5,4,0.13,7,0.99,0.25,2,102,0,4480,8960
7,1,0.00,9,0.75,0.25,2,120,0,4160,8960
4,2,,3,0.79,0.50,1,115,0,2496,6976
12,2,0.16,3,0.75,0.50,2,145,0,2496,6560
13,5,0.17,8,0.75,0.50,1,134,0,2496,6720
6,1,,2,1.50,0.30,2,77,0,3525,7503
9,3,0.15,4,1.01,0.25,2,153,0,4160,8960
9,1,,2,1.50,0.50,2,24,0,2496,6964
13,1,,2,1.50,0.50,2,42,0,2496,6802
1,6,0.20,18,1.50,0.50,1,6,1,2496,6976
1,9,0.26,29,1.50,0.50,1,7,1,2496,6976
1,7,0.28,22,1.50,0.50,1,7,1,2496,6976
1,7,0.27,23,1.50,0.50,1,6,1,2496,6976
1,12,0.42,31,1.50,0.50,1,9,1,2496,6976
1,11,0.34,31,1.50,0.50,1,10,1,2496,6976
1,12,0.41,37,1.50,0.50,1,12,1,2496,6976
1,13,0.40,36,1.50,0.50,1,12,1,2496,6976
1,15,0.45,45,1.50,0.50,1,14,1,2496,6976
1,14,0.48,39,1.50,0.50,1,13,1,2496,6976
1,13,,31,1.50,0.50,1,9,1,2496,6976
1,16,0.40,49,1.04,0.50,1,21,1,2496,6976
2,9,0.26,37,0.75,0.50,1,25,1,2496,6976
2,11,0.28,40,0.75,0.50,1,25,1,2496,6976
3,9,0.30,38,0.75,0.34,1,34,1,3520,8432
1,14,0.47,49,1.34,0.50,1,24,1,2496,6976
2,13,0.43,62,0.75,0.50,1,29,1,2496,6976
1,14,0.48,45,0.95,0.50,1,23,1,2496,6976
2,12,0.51,59,0.75,0.50,1,26,1,3520,8000
3,7,0.22,38,0.75,0.25,1,37,1,3520,8960
3,9,0.24,39,0.75,0.25,1,38,1,3520,8960
3,12,0.30,66,0.75,0.25,1,38,1,4480,8960
3,9,0.21,50,0.75,0.25,1,38,1,3520,8960
3,12,0.28,61,0.75,0.25,1,41,1,4160,8960
3,12,0.32,61,0.75,0.25,1,40,1,4160,8960
7,13,0.35,56,0.75,0.25,1,111,1,4480,8960
3,15,0.53,77,0.75,0.25,1,43,1,4480,8960
3,16,0.53,70,0.75,0.25,1,44,1,4480,8960
10,3,0.22,18,1.50,0.25,1,61,1,4160,8960
4,4,0.39,22,1.50,0.25,1,49,1,4160,8960
4,4,0.28,23,1.50,0.25,1,49,1,4160,8960
10,6,0.40,33,1.50,0.25,1,60,1,4160,8960
4,4,0.41,25,1.50,0.25,1,50,1,4160,8960
11,7,0.27,29,0.89,0.50,1,80,1,2496,6720
10,7,0.28,29,0.86,0.50,1,93,1,2496,6720
9,6,0.40,34,1.50,0.50,1,57,1,2496,6720
9,6,0.50,29,1.50,0.50,1,58,1,2496,6720
6,5,0.27,21,1.50,0.25,1,55,1,4160,8960
10,7,0.41,35,1.50,0.25,1,66,1,4160,8960
10,7,0.34,26,1.50,0.25,1,66,1,4160,8960
10,7,0.45,28,1.50,0.25,1,67,1,4160,8960
10,10,0.30,45,1.16,0.25,1,78,1,4160,8960
11,11,0.20,41,0.75,0.25,1,81,1,4160,8960
11,12,0.23,49,0.75,0.25,1,83,1,4160,8960
11,13,0.26,40,0.75,0.25,1,82,1,4160,8960
2,10,,22,0.77,0.40,1,40,1,3831,8349
11,11,0.26,57,0.75,0.25,1,85,1,4160,8960
11,17,0.40,75,0.75,0.25,1,86,1,4160,8960
3,13,,65,1.36,0.40,1,73,1,2537,7320
11,18,0.44,72,0.75,0.25,1,88,1,4160,8960
11,19,0.53,84,0.75,0.25,1,90,1,4160,8960
11,21,0.58,93,0.75,0.25,1,91,1,4160,8960
11,19,0.56,89,0.75,0.25,1,91,1,4160,8960
11,19,0.63,87,0.75,0.25,1,92,1,4160,8960
9,7,0.28,28,0.75,0.50,1,110,1,2496,6720
12,13,0.49,42,0.75,0.50,1,105,1,2496,6720
12,12,0.39,51,0.75,0.50,1,103,1,2496,6720
9,10,,32,1.34,0.50,1,100,1,2496,6816
12,10,0.40,48,0.75,0.50,1,103,1,2496,6680
12,11,0.44,50,0.75,0.50,1,105,1,2496,5785
12,10,0.46,54,0.75,0.50,1,106,1,2496,6720
12,13,0.50,62,0.75,0.50,1,106,1,2496,6720
12,12,0.42,56,0.75,0.50,1,105,1,2496,6464
5,10,0.32,10,1.49,0.50,1,99,1,2496,6976
2,7,0.31,26,0.99,0.50,1,99,1,2496,6976
5,4,0.51,9,1.50,0.50,2,112,1,2496,6976
11,4,0.33,18,0.75,0.25,2,127,1,4160,8960
7,8,0.23,36,0.75,0.25,1,113,1,4480,8960
9,6,0.43,16,0.75,0.25,2,126,1,4160,8960
9,6,0.40,19,0.75,0.25,2,131,1,4160,8960
3,7,,20,0.97,0.47,1,9,1,2765,7582
11,3,0.27,9,0.75,0.50,2,127,1,2496,6720
8,4,,8,0.99,0.50,1,29,1,2496,6759
8,5,0.37,9,0.75,0.50,2,127,1,2496,6720
8,5,0.48,12,0.75,0.50,2,129,1,2496,6720
13,9,0.47,21,0.75,0.25,2,135,1,4160,8960
7,7,0.43,19,0.75,0.25,2,133,1,4160,8960
13,10,0.55,29,0.75,0.25,2,138,1,4160,8960
13,9,0.49,24,0.75,0.25,2,136,1,4160,8960
13,9,0.53,24,0.75,0.25,2,137,1,4160,8960
14,5,0.56,9,1.32,0.50,2,153,1,2496,6720
8,9,,22,1.14,0.50,2,60,1,2496,6734
12,9,0.35,61,0.75,0.50,1,150,1,2496,6464
14,8,0.49,14,0.75,0.50,2,150,1,2496,6464
15,3,0.37,7,1.50,0.25,2,157,1,4160,8960
14,4,0.38,14,1.29,0.25,2,151,1,4160,8960
15,5,0.30,12,1.50,0.25,2,158,1,4160,8960
7,8,0.47,46,0.77,0.25,2,96,1,4480,8960
16,4,0.25,5,1.50,0.50,2,164,1,2496,6720
3,6,,6,1.50,0.50,2,137,1,2496,6973
8,6,0.62,9,1.41,0.50,2,140,1,2496,6720
16,4,0.44,9,1.50,0.50,2,165,1,2496,6720
9,9,0.81,45,1.43,0.50,1,71,2,2117,6464
10,11,0.71,48,1.11,0.25,1,72,2,4471,8960
11,21,0.76,105,0.75,0.25,1,93,2,4160,8960
8,9,0.83,17,1.38,0.50,2,127,2,2496,6586
13,11,0.96,33,0.75,0.25,2,140,2,4160,8960
13,12,1.08,35,0.75,0.25,2,141,2,4160,8960
13,13,1.05,38,0.75,0.25,2,142,2,4160,8960
13,14,1.46,41,0.75,0.25,2,143,2,4160,8960
13,15,1.53,43,0.75,0.25,2,144,2,4160,8960
14,10,0.91,22,0.76,0.50,2,150,2,2496,6464
14,10,1.12,21,0.76,0.50,2,150,2,2496,6464
15,7,0.70,20,1.32,0.25,2,156,2,4160,8960
11,9,0.81,29,0.94,0.50,1,132,2,2302,6464
11,11,0.76,45,1.01,0.25,1,80,2,4335,8960
11,20,0.96,103,0.75,0.25,1,95,2,4160,8960
13,9,0.72,24,1.09,0.25,2,138,2,3570,8369
15,10,0.70,29,1.01,0.25,2,141,2,4160,8960
13,13,0.99,37,0.75,0.25,2,141,2,4160,8960
13,13,1.17,41,0.75,0.25,2,143,2,4160,8960
13,14,1.11,39,0.75,0.25,2,143,2,4160,8960
13,14,1.45,37,0.75,0.25,2,143,2,4160,8960
11,9,0.81,36,1.31,0.50,2,127,2,2156,6464
12,9,1.12,19,0.93,0.50,2,129,2,2496,6507
15,8,1.12,25,1.04,0.25,2,152,2,4160,8960
9,9,0.81,44,1.38,0.50,1,88,2,2123,6464
10,11,0.71,51,1.01,0.25,1,74,2,4335,8960
11,19,0.92,104,0.75,0.25,1,96,2,4160,8960
10,9,0.76,28,0.98,0.50,2,115,2,2354,6541
13,13,1.39,34,0.75,0.25,2,141,2,4160,8960
13,12,0.85,34,0.89,0.25,2,141,2,4160,8960
13,13,1.10,39,0.75,0.25,2,143,2,4160,8960
13,14,1.12,39,0.75,0.25,2,143,2,4160,8960
13,13,1.36,41,0.75,0.25,2,143,2,4160,8960
9,9,0.81,29,1.00,0.50,2,125,2,2338,6491
13,9,0.96,21,0.76,0.50,2,150,2,2496,6469
15,8,0.94,24,1.04,0.25,2,152,2,4160,8960
11,9,0.81,30,0.99,0.50,1,116,2,2296,6464
11,11,0.76,39,0.93,0.25,2,83,2,4334,8960
13,14,0.92,64,0.80,0.25,2,133,2,4173,8960
15,9,0.88,26,1.08,0.25,2,141,2,4066,8369
14,11,0.73,32,0.91,0.25,2,140,2,4160,8960
13,13,1.06,39,0.75,0.25,2,142,2,4160,8960
13,14,1.19,41,0.75,0.25,2,143,2,4160,8960
13,14,1.08,38,0.75,0.25,2,142,2,4160,8960
13,14,1.36,38,0.75,0.25,2,143,2,4160,8960
11,9,0.81,39,1.28,0.50,1,126,2,2166,6464
14,10,1.14,19,0.77,0.50,2,137,2,2496,6474
15,7,0.99,22,1.23,0.25,2,159,2,4160,8960
9,9,0.81,45,1.37,0.50,1,83,2,2133,6464
10,15,0.73,91,1.01,0.25,1,73,2,4335,8960
11,20,0.80,105,0.75,0.25,1,94,2,4160,8960
10,9,0.87,19,1.15,0.50,2,129,2,2496,6535
13,12,0.93,33,0.75,0.25,2,140,2,4160,8960
13,12,0.95,35,0.75,0.25,2,141,2,4160,8960
13,13,1.05,39,0.75,0.25,2,142,2,4160,8960
13,14,1.50,41,0.75,0.25,2,143,2,4160,8960
13,14,1.38,42,0.75,0.25,2,144,2,4160,8960
14,9,1.08,21,0.80,0.50,2,148,2,2496,6469
13,10,1.14,22,0.77,0.50,2,142,2,2496,6473
15,8,0.72,24,1.06,0.25,2,151,2,4160,8960
12,9,0.81,29,0.92,0.50,2,136,2,2309,6464
11,12,0.77,45,0.98,0.25,2,80,2,4334,8960
