P1_B2004,P1_B2016,P1_B3004,P1_B3005,P1_B4002,P1_B4005,P1_B400B,P1_B4022,P1_FCV01D,P1_FCV01Z,P1_FCV02D,P1_FCV02Z,P1_FCV03D,P1_FCV03Z,P1_FT01,P1_FT01Z,P1_FT02,P1_FT02Z,P1_FT03,P1_FT03Z,P1_LCV01D,P1_LCV01Z,P1_LIT01,P1_PCV01D,P1_PCV01Z,P1_PCV02D,P1_PCV02Z,P1_PIT01,P1_PIT02,P1_PP01AD,P1_PP01AR,P1_TIT01,P1_TIT02,P2_24Vdc,P2_CO_rpm,P2_HILout,P2_MSD,P2_SIT01,P2_SIT02,P2_VT01,P2_VXT02,P2_VXT03,P2_VYT02,P2_VYT03,P3_FIT01,P3_LCP01D,P3_LCV01D,P3_LIT01,P3_PIT01,P4_HT_FD,P4_HT_LD,P4_HT_PO,P4_HT_PS,P4_LD,P4_ST_FD,P4_ST_GOV,P4_ST_LD,P4_ST_PO,P4_ST_PS,P4_ST_PT01,P4_ST_TT01,class
0.10178,1.60236,403.78854,985.37353,32.59527,100,2828.6355,36.84672,100,99.91608,0,-1.86768,50.38516,51.97296,175.13277,837.43292,1967.46826,2834.81226,243.19733,994.79443,10.51182,10.8429,403.57849,42.01559,42.52014,12,12.26196,1.35437,0.27786,540833,540833,34.8877,35.17761,28.03342,54118,714.69727,763.19324,784,784.32837,11.98306,-3.4148,-1.5178,2.9608,5.5204,-25,416,16304,17752,-23,0.00029,77.33652,75.9187,0,462.09491,-0.00058,20665,384.60284,382.99335,0,10051,27571,0
0.10178,1.60602,403.78854,985.37353,32.59527,100,2834.81226,36.85587,100,99.91608,0,-1.86768,50.40226,51.97296,177.80304,838.30273,1979.10303,2846.74463,241.67146,993.48993,10.46099,10.8429,403.62958,42.16243,42.52014,12,12.26196,1.35361,0.27634,540833,540833,34.87244,35.1471,28.02645,54119,705.88989,763.19324,785,785.22125,11.9289,-3.8363,-1.6359,3.1235,5.7871,-25,400,16320,17725,-23,0,77.26419,76.04529,0,462.67358,-0.00109,20696,385.25391,383.31885,0,10052,27564,0
0.10178,1.59885,403.78854,985.37353,32.59527,100,2846.74463,36.83794,100,99.91608,0,-1.86768,50.3698,51.40076,179.51965,844.39093,1982.34558,2829.05664,240.14566,993.48993,10.56788,10.8429,403.73184,42.25461,42.52014,12,12.26196,1.35437,0.27557,540833,540833,34.8877,35.1471,28.02642,54124,707.54395,763.19324,784,784.15259,11.86549,-3.9813,-1.5571,3.5234,6.0609,-25,376,16336,17683,-23,0,77.21356,76.08148,0,460.08752,0.00036,20729,385.23584,383.48163,0,10053,27562,0
0.10178,1.59869,403.78854,985.37353,32.59527,100,2837.61987,36.83756,100,99.91608,0,-1.86768,50.48345,50.96588,178.7567,848.30481,1990.35632,2837.61987,239.57342,990.01093,10.67958,10.8429,403.88519,42.47616,42.52014,12,12.26196,1.35437,0.27634,540833,540833,34.8877,35.1471,28.02389,54153,704.05884,763.19324,786,786.27319,11.80484,-3.8399,-1.3707,3.9301,6.1854,-25,360,16352,17644,-23,0.00029,77.11227,76.20807,0,460.99176,0.00058,20663,383.69867,383.04761,0,10052,27564,0
0.10178,1.59519,403.78854,985.37353,32.59527,100,2837.61987,36.82879,100,99.91608,0,-1.86768,50.61101,50.91248,176.6586,846.56525,1992.07288,2840.00635,239.19197,986.5321,10.70724,10.8429,403.93631,42.47616,42.52014,12,12.26196,1.35437,0.27634,540833,540833,34.90295,35.1471,28.02564,54110,718.0542,763.19324,783,783.297,11.81499,-3.3626,-1.1018,4.1942,6.0866,-25,336,16352,17608,-23,0,77.04715,76.28033,0,460.32263,-0.00217,20688,384.60284,382.93909,0,10051,27564,0
0.10178,1.59839,403.78854,985.37353,32.59527,100,2840.00635,36.8368,100,99.91608,0,-1.86768,50.66117,50.91248,177.99374,841.78162,1997.98596,2845.90234,239.57342,985.22742,10.73824,10.8429,403.88519,42.61339,42.52014,12,12.26196,1.35437,0.2771,540833,540833,34.8877,35.16236,28.02906,54098,714.52637,763.19324,784,783.63269,11.86968,-2.9712,-1.0208,3.9839,5.794,-25,320,16352,17581,-23,0,76.94589,76.28033,0,458.44183,0.00029,20666,381.78168,382.84869,0,10050,27567,0
0.10178,1.59808,403.78854,985.37353,32.59527,100,2845.90234,36.83604,100,99.91608,0,-1.86768,50.69828,50.89721,178.37523,844.82574,1969.75696,2847.16553,239.76421,984.35767,10.71826,10.8429,404.08966,42.7338,42.52014,12,12.26196,1.35437,0.2771,540833,540833,34.8877,35.1471,28.02473,54110,703.53394,763.19324,785,784.63507,11.92244,-2.8286,-1.0693,3.6442,5.5814,-25,304,16352,17529,-23,0.00029,76.8663,76.35272,0,458.42371,0.00297,20585,379.66577,382.39661,0,10052,27564,0
0.10178,1.59625,403.78854,985.37353,32.59527,100,2847.16553,36.83146,100,99.91608,0,-1.86768,50.66582,50.90485,177.61227,845.6955,1980.81958,2851.51758,240.14566,985.22742,10.6709,10.8429,404.19186,42.84604,42.52014,12,12.26196,1.35513,0.27634,540833,540833,34.8877,35.1471,28.02733,54118,707.37305,763.19324,786,785.77631,11.9825,-2.9406,-1.2486,3.2409,5.4349,-25,288,16368,17500,-23,0,76.80121,76.35272,0,459.78009,-0.00116,20592,381.00403,381.81787,0,10051,27556,0
0.10178,1.59641,403.78854,985.37353,32.59527,100,2851.51758,36.83184,100,99.91608,0,-1.86768,50.64813,50.89721,177.04009,843.95599,1964.41638,2830.74121,239.95489,985.66242,10.61983,10.8429,404.44748,42.96378,42.52014,12,12.26196,1.35437,0.27481,540833,540833,34.8877,35.1471,28.03426,54110,710.92529,763.19324,783,783.07446,11.99246,-3.2939,-1.4712,2.9803,5.4793,-25,272,16352,17465,-23,0,76.69995,76.35272,0,456.43451,-0.00015,20596,380.91363,381.72748,0,10051,27564,0
0.10178,1.5958,403.78854,985.37353,32.59527,100,2830.74121,36.83031,100,99.91608,0,-1.86768,50.61045,50.90485,178.56593,842.65137,1964.41638,2838.8833,239.57342,986.5321,10.59278,10.8429,404.54968,43.08521,42.81005,12,12.26196,1.35895,0.27634,540833,540833,34.8877,35.1471,28.02817,54126,700.41504,763.19324,786,785.77216,11.95485,-3.6689,-1.6076,3.0151,5.6655,-25,264,16352,17428,-23,0,76.6059,76.35272,0,458.67694,-0.00391,20592,382.28803,381.40192,0,10052,27562,0
0.10178,1.59534,403.78854,985.37353,32.59527,100,2838.8833,36.82917,100,99.90845,0,-1.86768,50.62408,50.90485,179.51965,846.13031,1974.52527,2826.81055,239.19197,986.09717,10.60897,10.85052,404.49857,43.17949,43.77136,12,12.26196,1.36581,0.27557,540833,540833,34.8877,35.17761,28.02382,54089,710.94971,763.19324,780,780.35858,11.9039,-3.9536,-1.6293,3.2954,5.9282,-25,248,16352,17397,-23,-0.00022,76.52634,76.35272,0,459.05676,-0.00369,20649,380.57001,381.78168,0,10053,27564,0
0.10178,1.59259,403.78854,985.37353,32.59527,100,2826.81055,36.8223,100,99.90845,0,-1.86768,50.65772,50.90485,180.8548,848.30481,1976.81433,2826.81055,240.14566,985.22742,10.65318,10.8429,404.65195,43.24722,43.81714,12,12.25433,1.36581,0.27634,540833,540833,34.8877,35.1471,28.02476,54118,705.78613,763.19324,782,782.09143,11.8601,-3.9825,-1.5467,3.5656,6.0711,-25,232,16352,17360,-23,0,76.45401,76.35272,0,457.95355,-0.00065,20621,381.43805,381.6189,0,10053,27562,0
0.10178,1.58771,403.78854,985.37353,32.59527,100,2826.81055,36.8101,100,99.91608,0,-1.86768,50.69483,50.90485,181.0455,851.34894,1988.63977,2834.25049,240.14566,984.35767,10.54341,10.8429,404.8053,43.33497,43.81714,12,12.26196,1.36658,0.27634,540833,540833,34.8877,35.1471,28.03169,54142,707.4707,763.19324,785,785.34497,11.80029,-3.785,-1.3224,4.0048,6.1976,-25,224,16352,17332,-23,0,76.38889,76.35272,0,456.39832,-7.00E-05,20573,378.43604,381.34766,0,10053,27564,0
0.10178,1.59015,403.78854,985.37353,32.59527,100,2834.25049,36.8162,100,99.90845,0,-1.86768,50.60756,50.90485,182.18994,851.78375,1979.86585,2835.9353,240.14566,986.5321,10.51296,10.8429,405.06085,43.45473,43.82477,12,12.25433,1.36658,0.2771,540833,540833,34.90295,35.1471,28.02649,54121,707.54395,763.19324,786,785.89398,11.8371,-3.2267,-1.0542,4.1702,6.0094,-25,208,16336,17280,-23,-7.00E-05,76.30206,76.28033,0,457.46527,-0.00181,20584,380.15405,381.16681,0,10053,27562,0
0.10178,1.59,403.78854,985.37353,32.59527,100,2835.9353,36.81582,100,99.91608,0,-1.86768,50.60293,50.90485,183.90655,854.39307,1982.91773,2844.63892,239.57342,986.5321,10.4649,10.8429,405.06085,43.56571,43.81714,12,12.26196,1.36581,0.27557,540833,540833,34.8877,35.13183,28.03162,54116,714.53857,763.19324,787,786.5669,11.91344,-2.8496,-1.0449,3.7404,5.6366,-25,200,16336,17240,-23,-0.00022,76.20804,76.28033,0,455.74725,-0.00159,20608,379.35834,381.51044,0,10053,27565,0
0.10178,1.58801,403.78854,985.37353,32.59527,100,2844.63892,36.81086,100,99.91608,0,-1.86768,50.59829,50.90485,179.51965,858.30695,1987.30456,2838.18115,239.95489,986.5321,10.51061,10.8429,405.16312,43.67102,43.81714,12,12.26196,1.36658,0.2771,540833,540833,34.8877,35.1471,28.02382,54124,714.55688,763.19324,784,783.56177,11.97634,-2.9151,-1.2174,3.2877,5.4504,-25,192,16320,17222,-23,0,76.13571,76.20807,0,455.51215,-0.00072,20548,377.78503,380.62427,0,10052,27562,0
0.10178,1.58679,403.78854,985.37353,32.59527,100,2838.18115,36.80781,100,99.91608,0,-1.86768,50.64846,50.90485,178.56593,848.30481,1988.44922,2840.42749,239.57342,985.22742,10.45599,10.8429,405.21423,43.7717,43.80951,12,12.26196,1.36658,0.27634,540833,540833,34.8877,35.13183,28.02906,54105,714.63013,763.19324,784,784.10419,11.99003,-3.3385,-1.4901,2.9706,5.4801,-25,184,16304,17165,-23,-0.00022,76.08505,76.20807,0,454.82495,-0.00253,20619,378.67114,381.31146,0,10053,27573,0
0.10178,1.5871,403.78854,985.37353,32.59527,100,2840.42749,36.80857,100,99.91608,0,-1.86768,50.61251,50.90485,179.90114,846.13031,1983.48987,2843.65625,240.14566,986.09717,10.47672,10.8429,405.46979,43.88341,43.81714,12,12.26196,1.36658,0.27634,540833,540833,34.8877,35.16236,28.03078,54097,714.70337,763.19324,783,783.05194,11.94884,-3.7417,-1.6211,3.0493,5.7088,-25,176,16304,17137,-23,0,76.07059,76.15381,0,452.99841,-0.00123,20578,378.74347,380.75092,0,10053,27567,0
0.10178,1.58557,403.78854,985.37353,32.59527,100,2843.65625,36.80476,100,99.91608,0,-1.86768,50.64614,50.90485,181.80846,849.17462,1984.06201,2844.49854,240.14566,985.22742,10.37836,10.8429,405.52094,43.98566,43.81714,12,12.26196,1.36505,0.2771,540833,540833,34.90295,35.1471,28.02561,54103,704.19312,763.19324,785,784.95947,11.8862,-3.9754,-1.5977,3.4046,5.9944,-25,160,16288,17117,-23,0,75.99103,76.15381,0,455.81958,-0.00101,20454,378.99664,379.72003,0,10053,27562,0
0.10178,1.58298,403.78854,985.37353,32.59527,100,2844.49854,36.79827,100,99.91608,0,-1.86768,50.59193,50.90485,182.57141,853.52325,1975.479,2840.84863,240.33637,986.5321,10.3603,10.8429,405.77649,44.08955,43.81714,12,12.26196,1.36581,0.27557,540833,540833,34.8877,35.13183,28.02382,54130,720.95337,763.19324,786,786.35077,11.82499,-3.9341,-1.4569,3.7828,6.1465,-25,160,16288,17089,-23,-0.00022,75.93317,76.08148,0,453.30585,-0.00116,20551,376.95312,380.29871,0,10053,27564,0
0.10178,1.59076,403.78854,985.37353,32.59527,100,2840.84863,36.81773,100,99.91608,0,-1.86768,50.5873,50.90485,178.56593,855.26282,1973.57153,2841.26953,239.95489,986.5321,10.29066,10.8429,405.87875,44.23536,43.81714,12,12.26196,1.36658,0.27634,540833,540833,34.90295,35.13183,28.02987,54111,721.74072,763.19324,785,784.93372,11.80813,-3.5473,-1.1785,4.1721,6.1606,-25,152,16272,17037,-23,-7.00E-05,75.86807,76.08148,0,453.16119,-0.00036,20478,378.74347,379.84662,0,10053,27566,0
0.10178,1.58603,403.78854,985.37353,32.59527,100,2841.26953,36.8059,100,99.91608,0,-1.86768,50.5644,50.90485,183.1436,846.13031,1983.48987,2834.95264,239.95489,986.96692,10.2963,10.8429,406.18543,44.31899,44.20624,12,12.26196,1.36887,0.27634,540833,540833,34.8877,35.1471,28.02561,54108,718.2251,763.19324,788,787.65253,11.85441,-3.0604,-1.0049,4.0966,5.905,-25,144,16272,17009,-23,0,75.83911,76.04529,0,453.07074,0,20459,377.04352,379.39453,0,10053,27562,0
0.10178,1.58771,403.78854,985.37353,32.59527,100,2834.95264,36.8101,100,99.91608,0,-1.86768,50.59455,50.90485,183.71578,856.56738,1987.87671,2833.54858,240.71783,986.09717,10.23573,10.85052,406.13434,44.42551,44.29016,12,12.26196,1.36963,0.27634,540833,540833,34.90295,35.1471,28.02733,54117,721.7041,763.19324,789,788.54877,11.93114,-2.8579,-1.0973,3.5701,5.5412,-25,136,16256,16993,-23,0,75.79572,76.04529,0,453.30585,0.00109,20480,377.58606,379.77435,0,10053,27569,0
0.10178,1.5845,403.78854,985.37353,32.59527,100,2833.54858,36.80209,100,99.90845,0,-1.87531,50.59166,50.90485,181.0455,857.87195,1986.16016,2840.84863,240.33637,986.09717,10.16145,10.8429,406.33878,44.51411,44.29779,12,12.26196,1.36963,0.2771,540833,540833,34.90295,35.1471,28.02987,54109,690.11841,763.19324,784,783.6861,11.99145,-3.0137,-1.2921,3.1498,5.4261,-25,128,16240,16933,-23,-0.00022,75.74509,75.97296,0,453.34204,0.00015,20483,377.51379,379.6477,0,10053,27564,0
0.10178,1.58725,403.78854,985.37353,32.59527,100,2840.84863,36.80895,100,99.90845,0,-1.86768,50.5157,50.90485,183.52507,851.78375,1982.72705,2844.07715,240.90852,987.83667,10.14499,10.8429,406.49216,44.63596,44.31305,12,12.26196,1.36963,0.27634,540833,540833,34.90295,35.13183,28.02821,54127,718.17627,763.19324,783,783.28369,11.98801,-3.3634,-1.4941,2.9577,5.4831,-25,128,16240,16910,-23,-0.00022,75.67276,75.9187,0,452.99841,-0.00202,20478,377.51379,379.21368,0,10053,27562,0
0.10178,1.58252,403.78854,985.37353,32.59527,100,2844.07715,36.79713,100,99.91608,0,-1.86768,50.54238,50.91248,182.9529,857.43713,1990.16577,2842.81396,240.71783,986.96692,10.05061,10.86578,406.49216,44.71994,44.90814,12,12.26196,1.37497,0.27634,540833,540833,34.8877,35.13183,28.02821,54116,721.64917,763.19324,783,783.38013,11.93769,-3.7927,-1.6122,3.1022,5.7606,-25,120,16224,16864,-23,-0.00022,75.62933,75.9187,0,454.51746,-0.00304,20496,378.67114,379.24988,0,10052,27562,0
0.10178,1.57687,403.78854,985.37353,32.59527,100,2842.81396,36.78301,100,99.91608,0,-1.86768,50.48122,50.89721,181.42697,856.13263,1987.11389,2840.28711,240.52705,988.27142,10.04643,10.05707,406.64551,44.76871,45.57952,12,12.26196,1.37878,0.2771,540833,540833,34.91821,35.1471,28.02645,54108,718.13965,763.19324,786,785.54303,11.86419,-3.9898,-1.5478,3.5307,6.0464,-25,112,16224,16836,-23,0,75.6004,75.84637,0,451.67822,0.00072,20411,376.41058,378.61688,0,10053,27570,0
0.10178,1.58038,403.78854,985.37353,32.59527,100,2840.28711,36.79179,100,99.91608,0,-1.86768,50.48788,50.90485,179.13818,852.6535,1979.2937,2845.76196,240.33637,987.83667,10.01872,9.69849,406.74771,44.86806,45.53375,12,12.26196,1.3887,0.27557,540833,540833,34.8877,35.16236,28.02902,54103,725.09155,763.19324,783,783.48993,11.80181,-3.8133,-1.3325,3.9631,6.166,-25,104,16224,16798,-23,-0.00015,75.5787,75.84637,0,452.76331,0.00029,20440,377.04352,378.81586,0,10053,27566,0
0.10178,1.58008,403.78854,985.37353,32.59527,100,2845.76196,36.79102,100,99.91608,0,-1.86768,50.4963,50.90485,176.46791,847.43506,1986.35107,2843.51587,240.52705,987.40167,10.00028,9.65271,406.79886,44.91518,45.58715,12,12.26196,1.39709,0.27557,540833,540833,34.91821,35.1471,28.0247,54118,721.55762,763.19324,786,785.66791,11.81191,-3.4153,-1.1138,4.1868,6.0925,-25,104,16208,16760,-23,-0.00022,75.53531,75.81018,0,451.96759,-0.00202,20455,377.54987,378.67114,0,10053,27574,0
0.10178,1.58115,403.78854,985.37353,32.59527,100,2843.51587,36.79369,100,99.91608,0,-1.86768,50.50645,50.90485,177.99374,841.34686,1985.96948,2837.76025,240.90852,986.96692,9.95595,9.6756,406.84998,44.97242,45.41931,12,12.26196,1.39938,0.27786,540833,540833,34.8877,35.13183,28.03247,54116,718.08472,763.19324,788,787.84033,11.87425,-2.9757,-1.0052,3.9896,5.7875,-25,96,16208,16741,-23,-0.00022,75.52081,75.73785,0,453.68567,7.00E-05,20435,377.78503,378.83386,0,10053,27567,0
0.10178,1.58008,403.78854,985.37353,32.59527,100,2837.76025,36.79102,100,99.91608,0,-1.86768,50.48181,50.90485,178.37523,844.82574,1991.11951,2842.95435,241.09929,987.40167,9.89193,9.76715,406.95221,45.04682,45.54138,12,12.26196,1.40167,0.27634,540833,540833,34.90295,35.1471,28.02473,54111,711.13892,763.19324,786,786.09851,11.94193,-2.8631,-1.1259,3.4858,5.4867,-25,88,16208,16706,-23,0,75.50638,75.73785,0,451.22613,0.00072,20421,375.66913,378.49036,0,10053,27574,0
0.10178,1.58038,403.78854,985.37353,32.59527,100,2842.95435,36.79179,100,99.91608,0,-1.86768,50.43717,50.90485,176.84938,845.6955,1980.43811,2842.67358,240.71783,988.27142,9.83358,9.72137,407.05441,45.12676,45.58715,12,12.26196,1.40015,0.2771,540833,540833,34.8877,35.1471,28.02906,54117,707.69043,763.19324,784,783.71478,11.99486,-3.0451,-1.3075,3.1208,5.4276,-25,80,16192,16675,-23,0,75.45575,75.73785,0,449.88788,0.00043,20328,375.99463,377.51379,0,10053,27565,0
0.10178,1.57962,403.78854,985.37353,32.59527,100,2842.67358,36.78988,100,99.91608,0,-1.86768,50.40731,50.90485,176.08643,842.21661,1974.33472,2846.46387,240.90852,988.70636,9.82614,9.64508,407.15668,45.22012,45.60242,12,12.26196,1.40015,0.27557,540833,540833,34.8877,35.13183,28.02561,54103,717.60864,763.19324,783,782.78339,11.98678,-3.3852,-1.4978,2.9645,5.5,-25,80,16192,16650,-23,0,75.42679,75.66553,0,451.18994,0.00058,20355,375.66913,377.58606,0,10053,27564,0
0.10178,1.57993,403.78854,985.37353,32.59527,100,2846.46387,36.79064,100,99.91608,0,-1.86768,50.4305,50.90485,177.61227,840.47705,1975.09753,2838.60254,240.90852,987.83667,9.76837,9.5459,407.20779,45.31146,45.60242,12,12.26196,1.40091,0.27786,540833,540833,34.91821,35.17761,28.0299,54135,700.59204,763.19324,786,785.8042,11.93838,-3.781,-1.6116,3.0818,5.7314,-25,72,16176,16607,-23,0,75.38339,75.61121,0,451.22613,0.00174,20331,374.96381,377.58606,0,10053,27569,0
0.10178,1.58252,403.78854,985.37353,32.59527,100,2838.60254,36.79713,100,99.91608,0,-1.86768,50.40239,50.90485,178.7567,843.95599,1984.25293,2834.11035,240.14566,988.27142,9.73449,9.5459,407.31,45.41096,45.60242,12,12.26196,1.40091,0.27634,540833,540833,34.8877,35.1471,28.03078,54111,711.1206,763.19324,784,784.14532,11.87208,-3.98,-1.549,3.486,6.0224,-25,72,16176,16568,-23,0,75.35446,75.61121,0,451.06342,7.00E-05,20344,375.19891,377.33295,0,10053,27560,0
0.10178,1.57993,403.78854,985.37353,32.59527,100,2834.11035,36.79064,100,99.91608,0,-1.88294,50.3908,50.90485,180.09184,846.56525,1986.54175,2834.67188,240.14566,988.27142,9.76278,9.53827,407.5145,45.48815,45.60242,12,12.26196,1.40015,0.27634,540833,540833,34.8877,35.1471,28.02987,54100,721.54541,763.19324,780,780.36371,11.82456,-3.9278,-1.4291,3.7983,6.1399,-25,72,16176,16550,-23,-0.00022,75.3038,75.53894,0,450.62933,-0.00181,20351,375.27124,377.07971,0,10053,27566,0
0.10178,1.57855,403.78854,985.37353,32.59527,100,2834.67188,36.78721,100,99.90845,0,-1.86768,50.45226,50.90485,178.56593,849.60938,1986.16016,2841.41016,241.09929,986.5321,9.7096,9.53827,407.46335,45.57445,45.60242,12,12.26196,1.40015,0.2771,540833,540833,34.90295,35.1471,28.03166,54108,718.06641,763.19324,784,784.15564,11.80204,-3.7192,-1.2609,4.0527,6.1531,-25,64,16160,16498,-23,0,75.28213,75.50275,0,450.48468,0.00116,20277,374.6745,376.68189,0,10053,27564,0
0.10178,1.57825,403.78854,985.37353,32.59527,100,2841.41016,36.78645,100,99.90081,0,-1.86768,50.44762,50.91248,176.27713,846.13031,1981.77331,2843.09473,240.90852,986.5321,9.60877,9.53827,407.41226,45.66205,45.60242,12,12.26196,1.40015,0.2771,540833,540833,34.8877,35.1471,28.02895,54095,718.0542,763.19324,786,785.7959,11.82044,-3.3174,-1.056,4.1873,6.0447,-25,64,16144,16476,-23,0,75.26044,75.50275,0,451.67822,-0.00094,20348,374.72876,377.13397,0,10053,27562,0
