FH,SH,TH,DY,Fb,OH,UP,DK,DJ,class
-1,-0.894737,-1,-1,-0.997449,-0.335581,-1,0.955945,0.943852,1
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.547846,-0.777775,0.946365,0.764443,0
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.309791,0.997401,0.993751,0.998137,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.395279,0.977474,-1,0.964108,1
-0.142857,-0.894737,-1,-1,-0.997449,-0.939061,0.941104,0.999407,0.997159,1
-1,-0.789474,0.4,0.166667,-1,-0.25315,0.998906,-1,0.986573,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,0.999327,0.946365,0.78113,1
-0.714286,-0.789474,-0.6,-0.666667,-0.988095,-0.249305,0.979291,0.432967,0.801578,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.111254,0.999333,-1,0.999108,1
-1,-0.714286,-1,-1,-0.985309,-0.561888,0.517193,0.999403,0.987741,1
-1,-0.714286,-1,-1,-0.985309,-0.687141,-1,0.57399,-0.349105,0
-1,-0.789474,-0.6,-0.666667,-1,-0.302248,0.98245,0.999156,0.986518,1
-1,-0.789474,-1,-1,-0.997449,0.284759,-1,0.999561,0.998846,1
-0.142857,-0.684211,-0.8,-0.833333,-0.998299,-0.248588,0.92182,0.994488,0.982328,1
0.142857,-1,-1,-0.833333,-0.895408,-0.903551,0.597204,0.141511,0.990491,1
-0.142857,-0.578947,-0.6,-0.5,-0.886905,-0.878474,0.517233,0.899396,0.765812,0
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.684523,0.999012,-0.547406,0.992787,1
-0.6,-0.428571,-0.75,-0.75,-0.991606,-0.395437,0.998049,0.354876,0.486167,0
-0.714286,-0.684211,-1,-1,-0.997449,-0.938783,-1,0.997814,0.994287,1
-1,0.142857,-0.25,-0.25,-0.989507,-0.410863,0.981053,-0.424718,0.957939,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.680845,0.999409,-0.54929,0.993188,1
-1,0.142857,-0.25,-0.25,-0.989507,-0.411965,0.981212,-0.424718,0.969471,1
-0.142857,-0.684211,-0.8,-0.833333,-0.998299,-0.248202,0.923074,0.994751,0.987024,1
0.6,-0.142857,-0.25,-0.25,-0.991606,-0.302432,0.983422,0.972817,0.932078,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.271007,0.754206,-1,0.224593,0
-0.714286,-0.894737,-0.6,-0.666667,-0.988095,-0.605757,0.998549,-1,0.997788,1
-0.714286,-0.894737,-0.6,-0.666667,-0.989796,-0.594487,0.999494,-1,0.999089,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.688091,0.999346,-0.547406,0.979508,1
-0.142857,-0.578947,-0.8,-0.833333,-0.998299,-0.210402,0.924229,0.994819,0.987533,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.782838,1
-0.714286,-0.789474,0.2,0,-0.989796,-0.303689,0.969239,-1,0.959859,1
-0.714286,-0.684211,-1,-1,-0.997449,-0.306236,-1,0.861383,0.820866,1
-0.714286,-0.789474,-0.6,-0.666667,-0.985544,-0.246415,0.969703,0.434349,0.729643,0
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.68272,0.999673,-0.547406,0.984675,1
-1,-0.894737,-0.8,-0.833333,-0.997449,-0.667289,-0.777769,0.98281,0.993271,1
0.2,-1,-0.25,-0.25,-0.989507,-0.674564,0.997175,-1,0.960427,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.387877,0.999062,-1,0.980764,1
-1,-0.789474,-0.6,-0.666667,-0.997449,0.495439,0.985221,-1,0.981537,1
-0.714286,-0.894737,-0.6,-0.666667,-0.984694,-0.60004,0.986121,-1,0.981848,1
-1,-0.684211,-0.6,-0.666667,-0.994048,-0.350872,0.968053,-0.272588,0.855337,1
-1,-0.789474,-1,-1,-0.997449,-0.37314,-1,0.99929,0.997276,1
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.548971,-0.777775,0.946365,0.771632,0
-1,-0.894737,-0.4,-0.5,-0.998299,-0.283183,0.999197,-0.460778,0.991223,1
-0.6,-0.714286,0,0,-0.972718,-0.512287,0.995455,-1,0.980673,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.476619,0.976066,-1,0.955973,1
0.2,-1,-0.75,-0.75,-0.993704,-0.683312,0.999548,0.462373,0.998732,1
-1,-0.789474,-1,-1,-0.997449,0.297723,-1,0.999904,0.999868,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.781561,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.780601,1
-0.142857,-0.578947,-0.8,-0.833333,-0.998299,-0.209548,0.922453,0.994985,0.971908,1
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.480943,0.883017,0.712396,0.119626,0
0.2,-0.714286,0,0,-0.987408,-0.454318,0.984831,-1,0.89608,1
-0.6,-0.714286,0,0,-0.966422,-0.517003,0.992601,-1,0.975503,1
-0.714286,-0.789474,-0.6,-0.666667,-0.986395,-0.245874,0.975941,0.465591,0.839878,1
-1,-0.789474,-1,-1,-0.997449,-0.400771,-1,0.998957,0.996207,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.782485,1
0.142857,-0.789474,-0.6,-0.666667,-0.997449,-0.203522,0.997145,0.954301,0.990854,1
-0.714286,-0.684211,-1,-1,-0.996599,-0.184501,-1,0.977309,0.972189,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.673141,0.999493,-0.551174,0.993901,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.414214,0.990918,-1,0.971259,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.033927,0.994224,-1,0.982324,1
-1,-0.894737,-1,-1,-0.997449,-0.33353,0.590541,0.954184,0.941778,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.681237,0.99961,-0.547406,0.99687,1
-1,-0.428571,-1,-1,-0.993704,0.038632,-1,0.885752,0.641968,0
-1,-0.789474,-0.6,-0.666667,-0.995748,-0.350672,0.764904,-1,0.719342,0
0.6,-0.142857,-0.25,-0.25,-0.991606,-0.300249,0.983422,0.972817,0.932079,1
-1,-0.428571,-1,-1,-0.993704,0.013556,-1,0.482579,-0.606797,0
0.2,-0.714286,-0.5,-0.5,-0.989507,-0.419083,0.980159,0.971096,0.914787,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.05141,0.969737,-1,0.962386,1
-1,-0.894737,-1,-1,-0.995748,-0.418177,-1,0.997409,0.988227,1
-1,-0.894737,-0.4,-0.5,-0.994898,-0.168075,0.998808,0.912596,0.992854,1
-1,-0.684211,-0.4,-0.5,-1,0.916779,0.999738,-1,0.999713,1
-0.714286,-0.894737,-0.6,-0.666667,-0.989796,-0.602377,0.998189,-1,0.997313,1
-1,-0.789474,-1,-1,-0.997449,0.284229,-1,0.999323,0.998373,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.782222,1
-1,-0.578947,-0.4,-0.5,-0.998299,-0.218827,0.999542,0.907556,0.997414,1
-0.6,-0.428571,0.25,0.25,-0.972718,-0.478897,0.994237,-1,0.977585,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.783267,1
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.568042,-0.12742,0.991288,0.952445,1
-1,-0.789474,-0.6,-0.666667,-0.987245,-0.628423,0.95951,-0.777773,0.893029,1
-0.2,-1,-1,-1,-0.993704,-0.899645,-1,0.956926,0.808378,1
0.2,-0.142857,-0.75,-0.5,0.395593,-0.312657,0.693757,0.618268,0.05681,0
0.6,-0.428571,-1,-1,-0.987408,-0.331847,-1,0.966406,0.841512,1
-1,-0.894737,-0.8,-0.833333,-0.938775,-0.342146,0.994409,0.976198,0.975158,1
-0.428571,-0.789474,0.4,0.166667,-0.994048,-0.194822,0.934703,-1,0.9195,1
-0.714286,-0.789474,-0.6,-0.666667,-0.992347,-0.243852,0.974863,-0.069953,0.93416,1
-1,-0.789474,-1,-1,-0.997449,0.277232,-1,0.999559,0.998807,1
-1,-0.428571,-1,-1,-0.993704,-0.01341,-1,0.575196,-0.331931,0
-0.2,-1,-1,-1,-0.993704,-0.900906,-1,0.980326,0.908857,1
0.142857,-1,-1,-0.833333,-0.895408,-0.900311,0.597204,0.314822,0.925417,1
-1,-0.714286,-0.5,-0.5,-0.991606,-0.656988,0.982339,-1,0.945292,1
0.142857,-0.578947,-1,-1,-0.997449,-0.381656,-1,0.981952,0.978048,1
-0.142857,-0.684211,-1,-1,-0.995748,-0.259768,-1,0.977583,0.961465,1
-0.142857,-0.684211,-0.8,-0.833333,-0.998299,-0.248202,0.923074,0.994751,0.965697,1
-1,-0.789474,0.4,0.166667,-0.991497,-0.245988,0.994622,-1,0.990175,1
-0.714286,-0.684211,-1,-1,-0.997449,-0.46401,0.671679,0.999504,0.998948,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.255381,0.863398,-1,0.567152,0
-1,-0.789474,-1,-1,-0.997449,0.272843,-1,0.998822,0.996592,1
-0.428571,-0.789474,-0.6,-0.666667,-0.997449,-0.293571,0.834712,0.55633,0.762381,0
-1,0.142857,-0.25,-0.25,-0.989507,-0.409919,0.981467,-0.424718,0.97266,1
0.2,-0.714286,0,0,-0.987408,-0.57073,0.986387,-1,0.919945,1
-0.2,-0.714286,-0.25,-0.25,-0.989507,-0.48788,0.98284,-1,0.963827,1
-1,-0.894737,-1,-1,-0.997449,0.270977,-1,0.983671,0.980568,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.781348,1
-0.714286,-0.789474,-0.6,-0.666667,-0.995748,-0.240207,0.962586,-0.198729,0.021804,0
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.033907,0.999583,-1,0.992626,1
-1,-0.789474,-1,-1,-0.997449,0.286395,-1,0.999559,0.999189,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.68263,0.998942,-0.547406,0.876672,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.252351,0.919117,-1,0.745651,0
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.688374,0.999313,-0.547406,0.99185,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.688091,0.999541,-0.547406,0.994333,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.757601,0
-1,-0.894737,0.8,0.5,-0.991497,-0.183766,0.992637,-1,0.989746,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.68306,0.99932,-0.547406,0.992936,1
-0.142857,-0.789474,-1,-1,-0.988095,0.136005,-1,0.732272,0.674549,0
-1,-0.428571,-0.5,-0.5,-0.989507,-0.25278,0.871923,-1,0.593975,0
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.680845,0.998806,-0.547406,0.938054,1
-0.714286,-0.789474,-0.8,-0.833333,-0.997449,-0.395367,0.764323,0.999447,0.995448,1
-1,-0.789474,-1,-1,-0.997449,0.282728,-1,0.999377,0.998239,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.020188,0.985555,-1,0.981623,1
-0.142857,-0.894737,-1,-1,-0.997449,-0.932768,-1,0.99737,0.994205,1
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.310139,0.880861,0.876328,0.884671,1
-0.714286,-0.894737,-0.6,-0.666667,-0.994048,-0.377045,0.934202,-0.238294,0.863047,1
-1,-0.894737,-0.8,-0.833333,-0.997449,-0.668039,-0.777769,0.945449,0.885625,1
-0.714286,-0.789474,-0.6,-0.666667,-0.988095,0.210699,0.976706,0.11058,0.925304,1
-1,-0.789474,-0.6,-0.666667,-0.990646,-0.401597,0.997382,-1,0.994024,1
-0.6,-0.714286,-0.5,-0.5,-0.993704,-0.677368,0.994823,0.685698,0.806822,1
-0.714286,-0.789474,-0.6,-0.666667,-0.992347,-0.32235,0.956757,0.516851,0.784118,1
-0.6,-0.428571,-0.75,-0.75,-0.991606,-0.366692,0.99908,0.213345,0.670419,0
-0.714286,-0.684211,-0.4,-0.5,-0.995748,-0.342421,0.971688,0.227183,0.86579,1
-0.142857,-1,-1,-1,-0.991497,-0.913177,-1,0.970636,0.937971,1
-0.142857,-0.789474,-1,-1,-0.985544,0.258771,-1,0.805067,0.76271,0
0.2,-0.142857,-0.5,-0.5,-0.932844,-0.377765,0.884524,0.478949,-0.178087,0
-1,-0.789474,-0.6,-0.666667,-0.997449,0.461399,0.999615,-1,0.998516,1
-1,-0.789474,-1,-1,-0.997449,0.264329,-1,0.999337,0.998147,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,0.999565,0.946365,0.781218,1
-0.714286,-0.894737,-0.8,-0.833333,-0.986395,-0.358405,0.967155,0.490915,0.55572,0
-0.142857,-0.789474,-1,-1,-0.995748,-0.272666,-1,0.98948,0.981409,1
-1,-0.684211,-0.6,-0.666667,-0.997449,0.375173,0.945504,-0.548714,0.933993,1
-1,-0.894737,-0.8,-0.833333,-0.997449,-0.668039,-1,0.97521,0.987988,1
0.142857,-1,-1,-0.833333,-0.895408,-0.90277,0.597204,0.074313,0.775244,0
-1,-0.789474,-0.6,-0.666667,-0.995748,0.023986,0.729881,-1,0.665142,0
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.545172,-0.777775,0.946365,0.749329,0
0.2,-0.142857,-0.75,-0.5,-0.601259,-0.326921,0.764545,0.305983,0.142621,0
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.413345,0.998881,-1,0.993981,1
0.6,-0.428571,-0.5,-0.5,-0.991606,-0.341767,0.983423,0.972817,0.932718,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.421885,0.998476,-1,0.988812,1
-1,-0.789474,-0.6,-0.666667,-0.995748,0.147233,0.748758,-1,0.689721,0
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.421792,0.957143,-1,0.899861,1
-0.714286,-0.789474,-0.8,-0.833333,-0.994048,-0.388104,0.983139,0.958043,0.971689,1
-1,-0.789474,0.4,0.166667,-1,-0.25315,0.998791,-1,0.986683,1
-1,-0.684211,-1,-1,-0.990646,-0.783714,-1,0.95047,0.890112,1
-1,0.714286,0.5,0.5,-0.951731,-0.213955,0.806095,-1,0.384211,0
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.427503,0.983019,-1,0.968662,1
-0.714286,-0.684211,-0.6,-0.666667,-0.994048,-0.327764,0.983136,0.958043,0.973778,1
-0.714286,-0.684211,-1,-1,-0.997449,-0.443339,-1,1,1,1
-1,-0.684211,-0.4,-0.5,-0.993197,-0.292279,0.999074,-1,0.997134,1
-0.714286,-0.789474,-0.6,-0.666667,-0.982993,-0.254317,0.977933,0.32895,0.777238,0
-1,-0.789474,-1,-1,-0.995748,-0.30462,-1,0.977838,0.973216,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.690237,0.99906,-0.571941,0.985967,1
-0.714286,-0.894737,-0.6,-0.666667,-0.988095,-0.482442,0.977917,-1,0.973065,1
-1,-0.789474,0.4,0.166667,-0.991497,-0.252966,0.994622,-1,0.990169,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.387877,0.999062,-1,0.991341,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.248827,0.959037,-1,0.86846,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.679084,0.999374,-0.547406,0.993104,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682116,0.999467,-0.547406,0.993782,1
-1,-0.142857,-0.25,-0.25,-1,0.258494,0.998108,-1,0.9978,1
-0.2,-1,-0.75,-0.75,-1,-0.718412,0.999593,0.90176,0.974106,1
-1,-0.684211,-0.6,-0.666667,-0.997449,0.353592,0.951482,-0.553166,0.936905,1
-0.6,-0.428571,-1,-1,-0.981112,-0.59055,-1,0.953292,0.810802,1
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.292917,0.940611,0.446831,-0.448,0
-0.142857,-0.789474,-1,-1,-0.995748,-0.264812,-1,0.990233,0.982703,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.680256,0.99986,-0.547406,0.998196,1
0.2,-1,-0.75,-0.75,-0.993704,-0.702159,0.995044,0.447665,0.483846,0
0.142857,-1,-1,-0.833333,-0.895408,-0.901529,0.597204,0.176054,0.66844,0
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.684523,0.999012,-0.547406,0.987319,1
0.2,-0.428571,-1,-1,-0.976915,-0.419036,-1,0.978195,0.898752,1
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.54395,-0.372885,0.946365,-0.407897,0
-1,-0.428571,-1,-1,-0.993704,0.030669,-1,0.841643,0.499322,0
-0.714286,-0.684211,-1,-1,-0.997449,-0.312833,-1,0.875227,0.840662,1
-0.142857,-1,-1,-1,-0.991497,-0.318811,-1,0.965155,0.953243,1
-1,0.142857,-1,-1,-0.989507,-0.348112,-1,0.978991,0.906557,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.086599,0.987014,-1,0.984121,1
0.2,-0.714286,0,0,-0.995803,-0.221041,0.945008,-1,0.820037,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.780927,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.269482,0.821247,-1,0.432169,0
-1,-0.789474,-1,-1,-0.995748,-0.367602,-1,0.953638,0.94389,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.046439,0.999611,-1,0.998883,1
-1,-0.789474,-1,-1,-0.997449,0.275436,-1,0.999634,0.999251,1
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.568042,-0.001258,0.991288,0.952038,1
-1,-0.894737,-1,-1,-0.997449,-0.317461,-1,0.954598,0.942219,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.387877,0.999062,-1,0.989352,1
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.304681,0.999878,0.998185,0.999325,1
-1,-0.684211,0,-0.166667,-0.994048,-0.323864,0.985065,-1,0.980129,1
-0.714286,-0.894737,-0.6,-0.666667,-0.995748,-0.646673,0.776533,-1,0.673695,0
-1,-0.894737,0.2,0,-1,-0.310684,0.982568,-1,0.97884,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.678272,0.999942,-0.54929,0.998616,1
-1,-0.894737,0.6,0.333333,-0.991497,-0.211939,0.982792,-1,0.976063,1
-0.6,-0.428571,-0.75,-0.75,-0.979014,-0.58879,0.423731,0.977379,0.699003,0
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.425538,0.980788,-1,0.970346,1
-1,-0.789474,-1,-1,-0.997449,0.287129,-1,0.999622,0.99908,1
-0.714286,-0.684211,-1,-1,-0.996599,-0.735141,-1,0.929207,0.913156,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.782526,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.050732,0.9995,-1,0.998441,1
0.2,-0.714286,0,0,-0.987408,-0.453242,0.997163,-1,0.972809,1
-1,-0.142857,-1,-1,-0.989507,-0.456423,-1,0.980832,0.887763,1
-1,-0.789474,-0.6,-0.666667,-0.997449,0.461399,0.999615,-1,0.998742,1
-1,-0.142857,-0.25,-0.25,-1,0.252277,0.997886,-1,0.997389,1
-0.142857,-0.789474,-1,-1,-0.992347,-0.120275,-1,0.624902,0.53701,0
-0.714286,-0.684211,-1,-1,-0.997449,-0.956606,-1,0.764739,0.582856,0
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.978591,0.779589,0
-1,-0.789474,-1,-1,-0.995748,-0.372017,-1,0.964997,0.957903,1
-0.6,-0.428571,-0.5,-0.5,-0.960126,-0.388841,0.987408,0.453415,0.872111,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.442458,0.983378,-0.460673,0.930557,1
-0.2,-0.714286,-0.25,-0.25,-0.989507,-0.491534,0.998515,-1,0.984018,1
-1,-0.789474,0.4,0.166667,-0.991497,-0.251569,0.994622,-1,0.990168,1
-1,-0.789474,-1,-1,-0.997449,0.267531,-1,0.99947,0.998222,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.399448,-0.246149,-1,-0.479795,0
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.395716,0.998554,-1,0.994788,1
-0.714286,-0.789474,0,-0.166667,-0.994048,-0.322649,0.981694,-1,0.975792,1
-1,-0.142857,-0.25,-0.25,-0.95383,-0.624881,0.989589,-1,0.958926,1
-1,-0.142857,-0.5,-0.5,-0.987408,-0.563105,0.998781,-0.357122,0.950016,1
-0.714286,-0.789474,-0.6,-0.666667,-0.993197,-0.565534,0.977379,-0.187906,0.89848,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682141,0.999824,-0.547406,0.997772,1
-0.714286,-0.894737,-0.8,-0.833333,-0.986395,-0.3432,0.978788,0.447039,0.76629,0
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.302037,0.996277,0.978448,0.992206,1
-0.2,-0.714286,-0.25,-0.25,-0.989507,-0.476942,0.998422,-1,0.980727,1
-0.714286,-0.789474,-0.4,-0.5,-0.997449,-0.290438,0.997013,-1,0.992553,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.079111,0.998478,-1,0.997969,1
-0.714286,-0.894737,-0.8,-0.833333,-0.989796,-0.344599,0.94962,0.566017,0.578195,0
-0.142857,-0.578947,-1,-0.666667,-0.907313,-0.913537,0.613938,0.898823,0.818043,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.783585,1
-1,-0.789474,-1,-1,-0.997449,0.291691,-0.777769,0.999562,0.998949,1
-0.6,-0.714286,-0.5,-0.5,-0.991606,-0.678542,0.995194,0.63224,0.765453,0
-1,-0.789474,-0.6,-0.666667,-0.995748,0.110585,0.796905,-1,0.752248,0
-1,-0.789474,-1,-1,-0.997449,0.308122,-1,0.995426,0.992764,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.031446,0.99956,-1,0.998485,1
0.142857,-1,-1,-0.833333,-0.895408,-0.902187,0.887233,0.180384,0.84209,1
0.142857,-0.789474,-0.6,-0.666667,-0.997449,-0.227907,0.999826,0.968621,0.992407,1
-1,0.142857,-0.75,-0.75,-0.985309,-0.506414,0.758894,0.979945,0.961785,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.432657,0.946934,-1,0.898152,1
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.78238,1
-0.714286,-0.684211,-1,-1,-0.996599,-0.825517,-1,0.935781,0.920782,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.297869,0.983562,-1,0.976355,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.6822,0.998846,-0.547406,0.989337,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.675468,0.993705,-0.547406,0.991516,1
-1,-0.789474,-1,-1,-0.995748,-0.369548,-1,0.919917,0.900392,1
-0.142857,-0.789474,-1,-1,-0.995748,-0.274473,-1,0.989436,0.981352,1
-0.142857,-0.894737,-1,-1,-0.995748,-0.235481,-1,0.978943,0.948155,1
-1,-0.894737,-1,-1,-0.997449,-0.31852,-1,0.956404,0.9449,1
-0.142857,-1,-0.8,-0.833333,-0.997449,-0.644699,0.953267,0.998618,0.992793,1
-1,-0.578947,-1,-1,-0.996599,-0.179466,-1,0.99317,0.986908,1
-0.6,-0.714286,-0.5,-0.5,-0.991606,-0.689676,0.995344,0.499003,0.835018,1
-1,-0.789474,-1,-1,-0.997449,0.262048,-1,0.999445,0.998591,1
-1,-0.263158,-0.6,-0.666667,-0.995748,-0.468963,0.760072,0.31044,0.687039,0
0.2,-0.714286,0,0,-0.995803,-0.203117,0.969512,-1,0.900515,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682141,1,-0.547406,0.999704,1
-1,-0.894737,-1,-1,-0.997449,0.325073,-1,0.982143,0.97865,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.251945,0.941282,-1,0.813881,1
-1,-0.894737,0.2,0,-0.988946,-0.385753,0.99793,-1,0.997289,1
